STATEFP,STATE,SLDUST,GEOID,NAMELSAD,Area,Perimeter,Polsby-Popper,Schwartzberg Radius,Schwartsberg Perimeter,Schwartzberg,Convex Hull Area,Area/Convex Hull,MBC Area,Reock
1,AL,15,1015,State Senate District 15,1541304822,404540.1424,11.83517784,22149.78503,139171.0863,34.4022933,2647800993,58.2107502,3884046385,39.6829664
1,AL,16,1016,State Senate District 16,210809728,109584.6393,22.05975984,8191.634587,51469.5146,46.9678186,267616823.7,78.77297289,481385956.2,43.79224721
1,AL,17,1017,State Senate District 17,2473035543,545362.371,10.4488746,28056.94793,176286.8541,32.32471903,3999925421,61.82704133,7517002852,32.89922316
1,AL,18,1018,State Senate District 18,261799734.9,157016.8665,13.34400166,9128.719198,57357.38589,36.52944246,436115214.2,60.02994767,1927802596,13.58021487
1,AL,19,1019,State Senate District 19,499536133.4,190762.9679,17.24996682,12609.81459,79229.73486,41.53307938,753855681.5,66.26415979,1659169151,30.10760735
1,AL,20,1020,State Senate District 20,312731152.9,201052.8961,9.722097593,9977.249208,62688.85268,31.18027837,506386528.9,61.75739975,901473511.5,34.69110838
1,AL,21,1021,State Senate District 21,4550074083,643266.6425,13.81802274,38056.99393,239118.9431,37.17260111,8309336852,54.75857056,16655526970,27.31870383
1,AL,22,1022,State Senate District 22,12238290847,1455498.849,7.259497074,62414.5196,392161.6613,26.94345389,22151293486,55.24865107,35358491986,34.61202715
1,AL,23,1023,State Senate District 23,16561932282,1052298.008,18.79502922,72607.37726,456205.2207,43.35323427,22244238550,74.45493018,35317452859,46.89446985
1,AL,24,1024,State Senate District 24,10099991678,941672.1154,14.31301388,56700.352,356258.5177,37.83254403,14035427991,71.96069607,32479649566,31.096369
1,AL,25,1025,State Senate District 25,3820665573,676539.6463,10.48967465,34873.43761,219116.0857,32.38776721,5856284734,65.24043393,16719521062,22.85152523
1,AL,26,1026,State Senate District 26,588263474.6,255405.8178,11.33234557,13683.94087,85978.66361,33.66354939,907944418,64.79069235,1451415106,40.53033982
1,AL,27,1027,State Senate District 27,3127061528,637428.3614,9.671262209,31549.57115,198231.6345,31.09865304,5466552683,57.20353776,11931251069,26.20899946
1,AL,28,1028,State Senate District 28,8493341932,832012.2169,15.41802335,51995.35544,326696.1774,39.2657909,12239459882,69.3931106,24603628372,34.52068859
1,AL,29,1029,State Senate District 29,3412135953,416826.7858,24.67883106,32956.29719,207070.3474,49.67779288,4439265441,76.8626251,9692670208,35.20326061
1,AL,30,1030,State Senate District 30,5206096283,566234.4429,20.40464892,40708.14802,255776.6215,45.17150531,6977112740,74.61677167,10793266327,48.23466896
1,AL,31,1031,State Senate District 31,7201253496,645731.6621,21.7026833,47877.26096,300821.4485,46.58613882,10150642850,70.94381709,16208153010,44.42982178
1,AL,32,1032,State Senate District 32,2200804427,236553.8864,49.42318996,26467.68593,166301.2349,70.30162869,2491554154,88.33058772,3787117491,58.11291655
1,AL,33,1033,State Senate District 33,329283495.8,121502.0402,28.02930438,10237.88458,64326.47162,52.94270902,435180874.1,75.66589329,784578392.1,41.96948312
1,AL,34,1034,State Senate District 34,1981401345,344400.4091,20.99203943,25113.74463,157794.178,45.81707043,2390514199,82.88598937,4266185373,46.4443331
1,AL,35,1035,State Senate District 35,1776062685,222743.7771,44.98385054,23776.85405,149394.2539,67.07000114,2016089098,88.0944541,3355035297,52.93722802
5,AR,1,5001,State Senate District 1,785777841.6,206708.6396,23.10957812,15815.2163,99369.85075,48.07242257,1056358929,74.38549721,1819949070,43.1758149
5,AR,2,5002,State Senate District 2,1659100575,370460.7886,15.19139713,22980.61273,144391.3263,38.97614288,2572637118,64.49026813,6493592415,25.54981078
5,AR,3,5003,State Senate District 3,799682766.4,186167.0815,28.99488917,15954.53369,100245.207,53.84690258,973357932.2,82.15711198,1453512476,55.01726194
5,AR,4,5004,State Senate District 4,340391481.9,126191.6153,26.86130957,10409.13375,65402.46098,51.82789748,453669746.8,75.03067688,792552864.8,42.94874159
5,AR,5,5005,State Senate District 5,6230069737,620463.2882,20.33621969,44531.9488,279802.2501,45.0956979,9061168292,68.75570055,20131547986,30.94679923
5,AR,6,5006,State Senate District 6,6881770459,546228.7826,28.98414664,46803.17748,294072.7887,53.83692658,9320985414,73.8309326,12171155961,56.54163401
5,AR,7,5007,State Senate District 7,574136371.6,178577.7688,22.62401983,13518.63297,84940.00433,47.56471363,863190015.2,66.51332401,1464338821,39.2078912
5,AR,8,5008,State Senate District 8,352750712,146984.305,20.51802098,10596.4208,66579.21926,45.29682216,497999468.6,70.8335519,939462930.6,37.54812463
5,AR,9,5009,State Senate District 9,3667534610,510814.239,17.66272587,34167.43348,214680.1347,42.0270459,5380861044,68.15887979,10214036621,35.9068089
5,AR,10,5010,State Senate District 10,10487242574,610235.083,35.38966623,57777.12185,363024.0565,59.48921434,12609967400,83.1662941,20353751500,51.52486299
5,AR,11,5011,State Senate District 11,6281355965,561962.9432,24.99467799,44714.86768,280951.5623,49.9946777,8576790532,73.23667218,20522924377,30.60653467
